127.0.0.1 - - [15/Jan/2026:20:29:10 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:29:12 +0900] "GET /%EC%95%BD%EA%B5%AD/batchModification.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:29:12 +0900] "GET /%EC%95%BD%EA%B5%AD/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:29:12 +0900] "GET /%EC%95%BD%EA%B5%AD/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:29:13 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:10 +0900] "GET /%EC%95%BD%EA%B5%AD/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:10 +0900] "GET /%EC%95%BD%EA%B5%AD/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:13 +0900] "POST /%EC%95%BD%EA%B5%AD/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:14 +0900] "GET /%EC%95%BD%EA%B5%AD/stock/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:14 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:14 +0900] "GET /%EC%95%BD%EA%B5%AD/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:14 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 28508
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:19 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:20 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 25846
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:20 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 25846
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:20 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 50084
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:21 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 25846
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:22 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:22 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:24 +0900] "GET /%EC%95%BD%EA%B5%AD/Product_Registration.jsp HTTP/1.1" 200 36335
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:24 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:24 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:32 +0900] "GET /%EC%95%BD%EA%B5%AD/batchModification.jsp HTTP/1.1" 200 26658
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:32 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:32 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [15/Jan/2026:20:31:32 +0900] "GET /%EC%95%BD%EA%B5%AD/inventoryFlag.jsp?_=1768476692183 HTTP/1.1" 200 23
