127.0.0.1 - - [16/Jan/2026:20:34:17 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:19 +0900] "GET /%EC%95%BD%EA%B5%AD/inventory_Exhaustion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:19 +0900] "GET /%EC%95%BD%EA%B5%AD/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:19 +0900] "GET /%EC%95%BD%EA%B5%AD/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:25 +0900] "POST /%EC%95%BD%EA%B5%AD/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:26 +0900] "GET /%EC%95%BD%EA%B5%AD/stock/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:26 +0900] "GET /%EC%95%BD%EA%B5%AD/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:26 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:26 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 28508
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:33 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:34 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 9929
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:34 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 25846
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:35 +0900] "POST /%EC%95%BD%EA%B5%AD/filterData.jsp HTTP/1.1" 200 50084
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:36 +0900] "GET /%EC%95%BD%EA%B5%AD/sale/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:36 +0900] "GET /%EC%95%BD%EA%B5%AD/inventory_Exhaustion.jsp HTTP/1.1" 200 63669
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:36 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:34:36 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:35:05 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:36:07 +0900] "GET /%EC%95%BD%EA%B5%AD/inventory_Exhaustion.jsp HTTP/1.1" 200 63669
0:0:0:0:0:0:0:1 - - [16/Jan/2026:20:36:07 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 200 87533
