127.0.0.1 - - [17/Jan/2026:20:43:37 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:39 +0900] "GET /%EC%95%BD%EA%B5%AD/total_list.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:39 +0900] "GET /%EC%95%BD%EA%B5%AD/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:39 +0900] "GET /%EC%95%BD%EA%B5%AD/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:43 +0900] "POST /%EC%95%BD%EA%B5%AD/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:44 +0900] "GET /%EC%95%BD%EA%B5%AD/stock/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:44 +0900] "GET /%EC%95%BD%EA%B5%AD/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:44 +0900] "GET /%EC%95%BD%EA%B5%AD/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:44 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 28508
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:55 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:56 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:43:56 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:01 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:13 +0900] "GET /%EC%95%BD%EA%B5%AD/searchTotal.jsp?searchSystem=010 HTTP/1.1" 200 8294
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:16 +0900] "GET /%EC%95%BD%EA%B5%AD/fetchSalesData.jsp?custnumber=6.0 HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:17 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:17 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A42%3A00 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:18 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:18 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A41%3A49 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:18 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:18 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A42%3A00 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:19 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:19 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A41%3A49 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:19 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:19 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A42%3A00 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:40 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:40 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A41%3A49 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:41 +0900] "GET /%EC%95%BD%EA%B5%AD/yourServerEndpoint.jsp?custnumber=6.0 HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:44:41 +0900] "GET /%EC%95%BD%EA%B5%AD/getSaleData.jsp?saleDate=2025-05-07%2020%3A42%3A00 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:46:41 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:46:41 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:46:41 +0900] "GET /%EC%95%BD%EA%B5%AD/customerRegistration.jsp HTTP/1.1" 200 28475
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:48:29 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:48:29 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:48:29 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:49:00 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [17/Jan/2026:20:49:00 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
